Product name,Price
Samsung Galaxy S22 Ultra,"Rs. 244,999"
Vivo V23,"Rs. 89,999"
Oppo A95,"Rs. 41,999"
Realme 9i,"Rs. 36,999"
Infinix Note 11 Pro,"Rs. 34,999"
Xiaomi Redmi Note 11,"Rs. 34,999"
Vivo V23e,"Rs. 52,999"
Vivo V23e 256GB,"Rs. 59,999"
Xiaomi 11T Pro 12GB,"Rs. 114,999"
Realme GT Master 256GB,"Rs. 72,999"
Realme GT Master Edition,"Rs. 66,999"
Samsung Galaxy M52,"Rs. 82,999"
Xiaomi Poco M4 Pro,"Rs. 46,999"
Infinix Zero X Pro,"Rs. 49,999"
Vivo Y53s,"Rs. 40,999"
Vivo V21e,"Rs. 46,999"
Nokia X10,"Rs. 49,999"
OnePlus Nord N10,"Rs. 49,999"
Vivo Y21t,"Rs. 34,999"
Xiaomi Redmi Note 11 6GB,"Rs. 37,999"
Xiaomi Redmi 10 128GB,"Rs. 31,999"
Infinix Note 11 6GB,"Rs. 30,999"
Tecno Camon 18P,"Rs. 33,999"
Infinix Zero X Neo,"Rs. 33,999"
Vivo Y15s,"Rs. 22,999"
Oppo A16K,"Rs. 23,999"
Tecno Pova Neo,"Rs. 20,850"
Oppo A15 3GB,"Rs. 22,999"
Tecno Spark 8 Pro,"Rs. 24,999"
Tecno Camon 18T,"Rs. 27,999"
itel Vision 2s,"Rs. 14,999"
Tecno Pop 5 LTE 3GB,"Rs. 17,499"
itel Vision 2 Plus 3GB,"Rs. 18,499"
Tecno Pop 5,"Rs. 12,799"
itel Vision 2 Plus,"Rs. 15,999"
Infinix Smart 6 3GB,"Rs. 18,999"
itel Power700 Core,"Rs. 2,699"
Nokia 6310 2021,"Rs. 7,800"
Nokia 105 4G,"Rs. 4,999"
Nokia 110 4G,"Rs. 5,950"
itel A23 Pro,"Rs. 7,999"
itel Magic 2 Max,"Rs. 2,999"
Realme 9 pro,"
Expected Price Rs. 49,999 "
Oppo A76,"
Expected Price Rs. 39,999 "
Realme 9 pro Plus,"
Expected Price Rs. 59,999 "
Infinix Zero 5G,"
Expected Price Rs. 47,999 "
Oppo F21,"
Expected Price Rs. 48,999 "
